品种代码,合约类型,年化夏普比率,年化收益率,波动率,最大回撤率,卡玛比率,持有天数,分位数计算回望窗口,分位数参数组合
ZN,平值期权,-0.0790044586368197,-0.007206270616506,0.0912134674529319,0.0719665478395301,-0.1001336153093586,5,20,"(0.6, 0.4)"
A,虚值一档,0.7735731422274205,0.0227630075207592,0.0294257986455108,0.0117982503401207,1.929354511435661,1,20,"(0.7, 0.3)"
A,平值期权,1.8510110697987876,0.0563601265603709,0.0304482925466769,0.010425996967757,5.405730189128935,1,20,"(0.7, 0.3)"
AG,虚值一档,-1.0796705547804666,-0.0351208297418761,0.0325292095689479,0.0146831471305723,-2.391914310301336,1,20,"(0.7, 0.3)"
AG,平值期权,-1.1578521958014518,-0.0416702293497095,0.0359892475920606,0.0164866387946303,-2.5275151514377554,1,20,"(0.7, 0.3)"
AL,虚值一档,0.1890126220829434,0.0108673322332786,0.0574952726094122,0.0690659345106901,0.1573472119109107,1,20,"(0.7, 0.3)"
AL,平值期权,0.374408209263894,0.0247717095815439,0.0661623035195901,0.0780490473818167,0.3173864436853471,1,20,"(0.7, 0.3)"
AU,虚值一档,1.4181831592535483,0.0512157516990967,0.0361136369198276,0.0166498483207149,3.076049145467389,1,20,"(0.7, 0.3)"
AU,平值期权,1.0602658289069868,0.0382566415552061,0.0360821225320864,0.0225251055051523,1.6984001050053013,1,20,"(0.7, 0.3)"
B,虚值一档,-1.6835999551752885,-0.0520347569242593,0.0309068414763896,0.0215039986489652,-2.419771214353347,1,20,"(0.7, 0.3)"
B,平值期权,-1.13555615631386,-0.048128299165113,0.0423830198951523,0.0325461370188202,-1.4787714786944524,1,20,"(0.7, 0.3)"
C,虚值一档,1.3689735119213278,0.0329451883030703,0.0240656141380211,0.0254375221304641,1.295141410948004,1,20,"(0.7, 0.3)"
C,平值期权,1.267894863237667,0.0354836689831976,0.0279862865699979,0.0267598041600594,1.3260063029967588,1,20,"(0.7, 0.3)"
CU,虚值一档,-0.9618638893959368,-0.0461359434339627,0.0479651476082928,0.1408797448039971,-0.3274845755729516,1,20,"(0.7, 0.3)"
CU,平值期权,-0.7127427124391992,-0.0372475122902185,0.0522594081148124,0.1420237849511639,-0.2622624957011701,1,20,"(0.7, 0.3)"
I,虚值一档,-0.7911631274413853,-0.096883342442638,0.1224568474973775,0.2891359885266588,-0.3350788081979122,1,20,"(0.7, 0.3)"
I,平值期权,-0.9016125658560578,-0.1183863553650594,0.1313051302170512,0.3351681434848993,-0.3532148196846553,1,20,"(0.7, 0.3)"
L,虚值一档,0.7534592332441292,0.0467291829779721,0.0620195239718183,0.0681123474696312,0.6860603798570725,1,20,"(0.7, 0.3)"
L,平值期权,1.3584818105261824,0.0928329426011824,0.0683358009521123,0.0626465478533302,1.4818524848093046,1,20,"(0.7, 0.3)"
M,虚值一档,0.0408247020195655,0.0015918960307482,0.0389934513174239,0.0601262202360175,0.0264759039317537,1,20,"(0.7, 0.3)"
M,平值期权,0.1340586524893375,0.0060486090562189,0.0451191246808933,0.0643245089294887,0.0940327280671405,1,20,"(0.7, 0.3)"
P,虚值一档,-1.156682703453373,-0.1429988614089958,0.1236284254809558,0.2406100584146351,-0.5943178865888092,1,20,"(0.7, 0.3)"
P,平值期权,-0.8439933918126165,-0.0866026469570004,0.1026105746764282,0.1560588709514645,-0.5549357523157685,1,20,"(0.7, 0.3)"
PG,虚值一档,0.4194404032870124,0.0384151439553095,0.0915866560642776,0.0797759472181712,0.4815379233323519,1,20,"(0.7, 0.3)"
PG,平值期权,0.7717126417793247,0.0740445200626542,0.0959483051773403,0.0763640838058585,0.9696249384841517,1,20,"(0.7, 0.3)"
PP,虚值一档,0.0709468847636196,0.0042382167037988,0.0597378830362984,0.0722816755104736,0.0586347324389946,1,20,"(0.7, 0.3)"
PP,平值期权,0.1192019262611098,0.0083666290924038,0.0701887071361321,0.0708978106326508,0.1180096961774266,1,20,"(0.7, 0.3)"
RB,虚值一档,-0.432319710713982,-0.0143900543599585,0.0332856772507392,0.0103483853943802,-1.3905603445899115,1,20,"(0.7, 0.3)"
RB,平值期权,-0.653905513237918,-0.0222542909958407,0.0340328847904111,0.0094845049657114,-2.3463840312483333,1,20,"(0.7, 0.3)"
RU,虚值一档,-0.5009767308032381,-0.0287720658980637,0.0574319407049749,0.117185393365668,-0.2455260427234538,1,20,"(0.7, 0.3)"
RU,平值期权,-0.4427931759586226,-0.0267756629338632,0.0604699087240797,0.1075115025210762,-0.2490492859460714,1,20,"(0.7, 0.3)"
SC,虚值一档,0.3645194445240851,0.0344455831269448,0.0944958729757663,0.0648808480767473,0.5309052539849556,1,20,"(0.7, 0.3)"
SC,平值期权,0.3588532718548662,0.0398107925024704,0.1109389146619552,0.0725589816536189,0.5486680159393446,1,20,"(0.7, 0.3)"
V,虚值一档,0.6908055134493865,0.0456928306245175,0.0661442761166747,0.0877040900016143,0.5209885949865783,1,20,"(0.7, 0.3)"
V,平值期权,0.768610708132159,0.0597546564300404,0.0777437209732002,0.091084564234394,0.6560349377779284,1,20,"(0.7, 0.3)"
Y,虚值一档,-2.272854648943782,-0.1101947959115505,0.0484829929457914,0.0614014859726027,-1.794660082994071,1,20,"(0.7, 0.3)"
Y,平值期权,-2.302680467774576,-0.1319073980086138,0.0572842823199415,0.0760886850811467,-1.7336007038094796,1,20,"(0.7, 0.3)"
ZN,虚值一档,-0.8482297690424885,-0.0481917880882707,0.0568145446518239,0.1489198000976681,-0.3236090033472009,1,20,"(0.7, 0.3)"
ZN,平值期权,-0.493283236040208,-0.0295617669245776,0.0599285861848507,0.1171874328265302,-0.2522605556889131,1,20,"(0.7, 0.3)"
A,虚值一档,1.0798207051156137,0.0450596153562768,0.041728793625468,0.0139370780514156,3.233074765746895,3,20,"(0.7, 0.3)"
A,平值期权,2.189989477686073,0.1080294517274606,0.0493287537808646,0.0108702966797135,9.938040783106556,3,20,"(0.7, 0.3)"
AG,虚值一档,1.1920556894120748,0.055933638866213,0.0469220015163885,0.0173428325096571,3.225173214067941,3,20,"(0.7, 0.3)"
AG,平值期权,1.0554110909836556,0.0559363961155317,0.0529996288587401,0.019315662071516,2.8959088178509145,3,20,"(0.7, 0.3)"
AL,虚值一档,-0.0421611253383878,-0.0035209446627236,0.0835116386117373,0.1284203340076036,-0.0274173454689436,3,20,"(0.7, 0.3)"
AL,平值期权,0.1550173713623076,0.0145121148793785,0.0936160557481057,0.1282189932824438,0.1131822556694933,3,20,"(0.7, 0.3)"
AU,虚值一档,2.0533672977135438,0.0864009092940247,0.0420776689052336,0.0294026592022244,2.9385406503466287,3,20,"(0.7, 0.3)"
AU,平值期权,1.6392775021394344,0.0706405231941307,0.0430924740331866,0.0355413617773474,1.9875581480716908,3,20,"(0.7, 0.3)"
B,虚值一档,1.781157902767036,0.0925584924454642,0.0519653492268564,0.0212654901052931,4.352521008788123,3,20,"(0.7, 0.3)"
B,平值期权,1.7611443364927697,0.1172296024023519,0.0665644490194419,0.036683003215254,3.19574713429144,3,20,"(0.7, 0.3)"
C,虚值一档,1.540283753577005,0.0507866905363763,0.0329722951491465,0.0245579223512515,2.06803693773338,3,20,"(0.7, 0.3)"
